Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,League
,Horioka Hayato,4,0,0,0,0,0,17,4.0,5,0,3,1,0,0,0,3,2,4.50,2.34,3.62,1.50,63,68,111,2.16,0.0%,17.6%,5.9%,11.8%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Ota Taisei,3,0,0,2,0,0,15,3.0,2,0,7,2,0,2,0,0,0,0.00,2.42,1.47,1.33,999,73,45,-2.42,0.0%,46.7%,13.3%,33.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Ohtsu Ryosuke,1,0,1,0,0,0,5,0.1,2,1,0,2,0,0,0,2,2,54.00,60.09,8.80,12.00,5,1758,269,-6.09,20.0%,0.0%,40.0%,-40.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Ohnuki Shinichi,3,1,1,0,0,0,57,13.0,17,2,14,3,0,0,0,8,7,4.85,3.63,2.87,1.54,59,106,88,1.22,3.5%,24.6%,5.3%,19.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Ohzeki Tomohisa,1,0,1,0,0,0,16,2.2,4,0,2,3,0,1,0,1,1,3.38,6.09,5.42,2.63,84,178,166,-2.71,0.0%,12.5%,18.8%,-6.2%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Miyanishi Naoki,3,0,0,1,0,0,8,2.1,1,1,1,0,0,0,0,1,1,3.86,7.80,3.55,0.43,75,226,108,-3.95,12.5%,12.5%,0.0%,12.5%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tomida Ren,1,0,0,0,0,0,1,0.0,1,1,0,0,0,0,0,1,1,,,4.80,,0,,147,,100.0%,0.0%,0.0%,0.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Ojima Kazuya,1,0,0,0,0,0,24,6.1,5,0,4,2,0,0,0,1,1,1.42,2.77,3.97,1.11,201,81,121,-1.35,0.0%,16.7%,8.3%,8.3%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Ogata Shuto,5,0,0,0,0,0,20,4.0,7,1,6,1,0,0,0,4,4,9.00,4.09,2.30,2.00,32,120,70,4.91,5.0%,30.0%,5.0%,25.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Yamamoto Takumi,1,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0.00,3.09,4.80,0.00,999,89,147,-3.09,0.0%,0.0%,0.0%,0.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Yamasaki Iori,1,1,0,0,0,0,24,6.1,6,0,5,0,0,0,0,0,0,0.00,1.51,2.72,0.95,999,45,83,-1.51,0.0%,20.8%,0.0%,20.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Yamasaki Yasuaki,5,1,1,0,0,0,24,5.2,4,1,8,3,2,0,0,1,1,1.59,4.15,2.72,1.24,179,121,83,-2.56,4.2%,33.3%,12.5%,20.8%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Yamasaki Sachiya,2,1,1,0,0,0,29,6.2,5,0,2,3,0,0,0,3,2,2.70,3.84,5.14,1.20,106,111,157,-1.14,0.0%,6.9%,10.3%,-3.4%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Okadome Hidetaka,2,0,0,0,0,0,9,2.0,2,0,0,0,0,1,0,2,2,9.00,4.59,4.80,1.00,30,141,147,4.41,0.0%,0.0%,0.0%,0.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Iwai Shunsuke,3,0,0,0,0,0,12,2.0,4,0,1,2,0,1,0,2,2,9.00,6.59,5.63,3.00,32,193,172,2.41,0.0%,8.3%,16.7%,-8.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Shimamoto Hiroya,2,0,0,0,0,0,9,2.0,2,0,1,2,0,0,0,0,0,0.00,5.09,5.91,2.00,999,157,181,-5.09,0.0%,11.1%,22.2%,-11.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Togo Shosei,2,0,1,0,0,0,46,11.0,12,1,6,1,0,0,0,4,4,3.27,3.45,3.71,1.18,84,104,113,-0.18,2.2%,13.0%,2.2%,10.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Saiki Hiroto,1,0,1,0,0,0,24,5.0,7,0,2,3,2,0,0,1,1,1.80,4.09,5.22,2.00,150,126,159,-2.29,0.0%,8.3%,12.5%,-4.2%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Arihara Kohei,3,2,1,0,0,0,71,17.0,16,2,16,6,0,1,0,6,6,3.18,3.97,3.39,1.29,90,116,104,-0.79,2.8%,22.5%,8.5%,14.1%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Kimura Hikaru,2,0,0,0,0,0,6,1.1,2,0,1,0,0,0,0,0,0,0.00,1.59,3.13,1.50,999,46,96,-1.59,0.0%,16.7%,0.0%,16.7%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Sugiyama Kazuki,5,0,0,0,0,0,22,6.0,3,0,4,1,0,0,0,1,1,1.50,2.25,3.44,0.67,190,66,105,-0.75,0.0%,18.2%,4.5%,13.6%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Sugiura Toshihiro,1,0,0,0,0,0,5,1.1,1,1,1,0,0,0,0,1,1,6.75,11.34,2.80,0.75,43,329,86,-4.59,20.0%,20.0%,0.0%,20.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Murakami Shoki,1,0,0,0,0,0,6,1.0,3,1,0,0,0,0,0,3,3,27.00,16.09,4.80,3.00,10,495,147,10.91,16.7%,0.0%,0.0%,0.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Azuma Katsuki,2,1,0,0,0,0,46,11.0,13,0,7,0,0,1,0,1,1,0.82,2.09,3.28,1.18,348,61,100,-1.27,0.0%,15.2%,0.0%,15.2%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Matsumoto Haru,2,0,0,0,0,0,6,1.1,2,0,1,0,0,0,0,0,0,0.00,1.59,3.13,1.50,999,46,96,-1.59,0.0%,16.7%,0.0%,16.7%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Yanagawa Taisei,2,0,0,0,0,0,8,1.1,2,0,1,2,0,0,0,1,1,6.75,6.09,6.05,3.00,43,176,185,0.66,0.0%,12.5%,25.0%,-12.5%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Kirishiki Takuma,1,0,0,0,0,0,6,1.1,2,0,1,0,0,0,0,2,2,13.50,1.59,3.13,1.50,20,49,96,11.91,0.0%,16.7%,0.0%,16.7%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Morihara Kohei,6,0,0,5,0,0,22,6.0,3,0,6,1,0,0,0,1,1,1.50,1.59,2.53,0.67,190,46,77,-0.09,0.0%,27.3%,4.5%,22.7%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Yokoyama Rikuto,2,0,0,0,0,0,6,1.1,2,0,3,0,0,0,1,1,0,0.00,-1.41,-0.20,1.50,999,-41,-6,1.41,0.0%,50.0%,0.0%,50.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Yokogawa Kai,1,0,0,0,0,0,4,1.0,0,0,2,1,0,0,0,0,0,0.00,2.09,2.30,1.00,999,63,70,-2.09,0.0%,50.0%,25.0%,25.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Ikeda Takahide,2,0,0,0,0,0,6,1.2,0,0,1,0,0,1,0,0,0,0.00,3.69,3.13,0.00,999,107,96,-3.69,0.0%,16.7%,0.0%,16.7%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Kawano Ryusei,3,1,0,0,0,0,7,1.2,2,0,2,0,0,0,0,0,0,0.00,0.69,1.94,1.20,999,20,59,-0.69,0.0%,28.6%,0.0%,28.6%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tsumori Yuki,2,0,0,0,0,0,12,2.2,1,0,3,2,0,1,0,3,3,10.13,4.21,3.97,1.13,28,123,121,5.91,0.0%,25.0%,16.7%,8.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Sawamura Hirokazu,1,0,1,0,0,0,5,0.2,2,0,2,1,0,0,0,1,1,13.50,1.59,2.80,4.50,21,46,86,11.91,0.0%,40.0%,20.0%,20.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Hamaguchi Haruhiro,3,0,0,0,0,0,26,7.0,3,0,7,2,0,0,0,1,1,1.29,1.95,2.88,0.71,221,57,88,-0.66,0.0%,26.9%,7.7%,19.2%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Nabatame Tsubasa,2,0,0,0,0,0,11,2.2,3,0,4,0,0,0,0,0,0,0.00,0.09,1.16,1.13,999,3,36,-0.09,0.0%,36.4%,0.0%,36.4%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tanaka Seigi,2,0,0,0,0,0,9,2.2,1,0,3,0,0,0,0,0,0,0.00,0.84,1.47,0.38,999,24,45,-0.84,0.0%,33.3%,0.0%,33.3%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Masuda Naoya,2,0,0,1,0,0,6,1.2,1,1,3,0,0,0,0,1,1,5.40,7.29,-0.20,0.60,53,212,-6,-1.89,16.7%,50.0%,0.0%,50.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Ishii Daichi,2,0,0,0,0,0,7,1.2,2,0,1,0,0,0,0,0,0,0.00,1.89,3.37,1.20,999,58,103,-1.89,0.0%,14.3%,0.0%,14.3%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Ishikawa Shuta,1,0,1,0,0,0,21,5.2,4,1,4,0,0,0,0,1,1,1.59,3.97,2.90,0.71,179,116,88,-2.38,4.8%,19.0%,0.0%,19.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Fukushima Ren,1,0,0,0,0,0,10,2.1,1,1,2,2,0,0,0,1,1,3.86,9.52,4.80,1.29,75,276,147,-5.66,10.0%,20.0%,20.0%,0.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Taneichi Atsuki,1,0,1,0,0,0,28,7.0,5,0,6,3,0,0,0,4,3,3.86,2.66,3.73,1.14,74,77,114,1.20,0.0%,21.4%,10.7%,10.7%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Funabasama Hiromasa,3,0,0,0,0,0,5,1.0,2,0,0,0,0,0,0,0,0,0.00,3.09,4.80,2.00,999,93,147,-3.09,0.0%,0.0%,0.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Sugano Tomoyuki,2,0,2,0,0,0,33,9.0,8,1,6,1,0,0,0,3,3,3.00,3.53,3.28,1.00,92,107,100,-0.53,3.0%,18.2%,3.0%,15.2%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kikuchi Riku,1,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.91,-5.20,0.00,999,-85,-159,2.91,0.0%,100.0%,0.0%,100.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Akahoshi Yuji,2,0,1,0,0,0,7,2.0,1,0,2,0,0,0,1,1,1,4.50,1.09,1.94,0.50,61,33,59,3.41,0.0%,28.6%,0.0%,28.6%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kanemura Shoma,1,0,0,0,0,0,24,6.2,4,2,3,0,0,0,0,2,2,2.70,6.09,3.55,0.60,106,176,108,-3.39,8.3%,12.5%,0.0%,12.5%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Suzuki Shota,2,0,0,0,0,0,5,1.1,1,0,2,0,0,0,0,0,0,0.00,0.09,0.80,0.75,999,3,24,-0.09,0.0%,40.0%,0.0%,40.0%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,PL
,Hasegawa Takehiro,1,0,0,0,0,0,4,1.0,0,0,0,1,0,0,0,0,0,0.00,6.09,7.30,1.00,999,178,223,-6.09,0.0%,0.0%,25.0%,-25.0%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,PL
,Takanashi Yuhei,4,0,0,0,0,0,9,3.1,1,0,3,0,0,0,0,0,0,0.00,1.29,1.47,0.30,999,39,45,-1.29,0.0%,33.3%,0.0%,33.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Takahashi Haruto,1,0,1,0,0,0,23,5.0,6,0,4,1,0,1,0,4,4,7.20,2.69,3.50,1.40,38,83,107,4.51,0.0%,17.4%,4.3%,13.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,CL
,Saito Yukiya,2,0,0,0,0,0,7,1.2,0,0,2,2,1,0,0,0,0,0.00,4.29,4.80,1.20,999,124,147,-4.29,0.0%,28.6%,28.6%,0.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
